BSL,PER,T,TOTAL,BG	7050034 	6943254 	6402584 	5979800 	5605134 	5217922 	4809607 	4470250 	4219205 	4022290 
BSL,PER,T,TOTAL,CH	8484130 	8607483 	9212464 	9680246 	10046723 	10286199 	10443098 	10553061 	10619465 	10666896 
BSL,PER,T,TOTAL,CY	864236 	885907 	985654 	1062506 	1112221 	1148532 	1168072 	1154323 	1116759 	1081209 
BSL,PER,T,TOTAL,CZ	10610055 	10674178 	10738001 	10648484 	10611979 	10479307 	10196812 	10004952 	9923454 	9855386 
BSL,PER,T,TOTAL,DE	82792351 	83159604 	83823479 	83525424 	82672493 	81467826 	80620373 	80000620 	79474024 	79098669 
BSL,PER,T,TOTAL,DK	5781190 	5839809 	6165570 	6370062 	6475023 	6553902 	6621759 	6659281 	6645003 	6614010 
BSL,PER,T,TOTAL,EA19	341152946 	342356277 	345599613 	347330573 	345291836 	339160682 	333132558 	329218368 	325664882 	321382012 
BSL,PER,T,TOTAL,EE	1319133 	1326601 	1319301 	1284836 	1250961 	1208867 	1157762 	1110975 	1072857 	1045509 
BSL,PER,T,TOTAL,EL	10741165 	10691204 	10367846 	10032362 	9622242 	9052676 	8477995 	8054104 	7748398 	7453044 
BSL,PER,T,TOTAL,ES	46658447 	47054924 	48071225 	49245586 	49932997 	49376897 	48391357 	47968015 	47844654 	47341529 
BSL,PER,T,TOTAL,EU27_2020	446105649 	447206135 	449244296 	449360648 	445418291 	436786346 	427415310 	420374386 	414424271 	408247190 
BSL,PER,T,TOTAL,EU28	512379225 	514292912 	520712470 	524655224 	523708357 	517098344 	509548113 	504019027 	498789751 	492945555 
BSL,PER,T,TOTAL,FI	5513130 	5528576 	5589753 	5557337 	5464411 	5354688 	5254136 	5129932 	4966409 	4804493 
BSL,PER,T,TOTAL,FR	66926166 	67204763 	69116880 	70926211 	71587879 	71673255 	72032320 	72605730 	72939502 	72876673 
BSL,PER,T,TOTAL,HR	4105493 	4054406 	3833236 	3635856 	3403390 	3158456 	2924925 	2701813 	2498152 	2317197 
BSL,PER,T,TOTAL,HU	9778371 	9739030 	9520613 	9271789 	9041782 	8806659 	8499508 	8237799 	8045853 	7887290 
BSL,PER,T,TOTAL,IE	4830392 	4943466 	5286004 	5610321 	5899815 	6059309 	6142116 	6220658 	6276401 	6273711 
BSL,PER,T,TOTAL,IS	348450 	358568 	392519 	422366 	442486 	455871 	464986 	467715 	464301 	460513 
BSL,PER,T,TOTAL,IT	60483973 	60233172 	58940837 	57710684 	55859604 	52995452 	50156210 	48186055 	46433206 	44585890 
BSL,PER,T,TOTAL,LT	2808901 	2759230 	2452166 	2307089 	2175738 	2030899 	1893953 	1792125 	1701437 	1625481 
BSL,PER,T,TOTAL,LU	602005 	625669 	741221 	843379 	923653 	983463 	1030989 	1065246 	1086957 	1102314 
BSL,PER,T,TOTAL,LV	1934379 	1905482 	1746604 	1655080 	1584931 	1512833 	1442474 	1391876 	1358826 	1337345 
BSL,PER,T,TOTAL,MT	475701 	497724 	596443 	661550 	695427 	715998 	724356 	712875 	690801 	674305 
BSL,PER,T,TOTAL,NL	17181084 	17342709 	17778363 	17954081 	17787300 	17536537 	17395184 	17259021 	16995422 	16708598 
BSL,PER,T,TOTAL,NO	5295619 	5369143 	5734240 	6035571 	6262768 	6415263 	6525592 	6606393 	6621297 	6602463 
BSL,PER,T,TOTAL,PL	37976687 	37968244 	37397916 	36174048 	34861135 	33462408 	31669769 	29841357 	28479116 	27523771 
BSL,PER,T,TOTAL,PT	10291027 	10261867 	10007091 	9671294 	9202437 	8604157 	7991343 	7468085 	7034705 	6623490 
BSL,PER,T,TOTAL,RO	19530631 	19282488 	18063702 	17409228 	16735514 	15944658 	15059393 	14333839 	13799539 	13343506 
BSL,PER,T,TOTAL,SE	10120242 	10348449 	11523061 	12540808 	13392498 	14002352 	14500979 	14906727 	15149067 	15301728 
BSL,PER,T,TOTAL,SI	2066880 	2083676 	2079967 	2056567 	2024248 	1961700 	1893609 	1846638 	1819201 	1796441 
BSL,PER,T,TOTAL,SK	5443120 	5455848 	5420101 	5264291 	5087967 	4865556 	4572716 	4294987 	4082770 	3916753 
BSL,PER,T,TOTAL,UK	66273576 	67086777 	71468174 	75294576 	78290066 	80311998 	82132803 	83644641 	84365480 	84698365 
