"year","country.name","agriculture.ghg.emissions.mio.tonnes","energy.ghg.emissions.mio.tonnes","industry.ghg.emissions.mio.tonnes","total.ghg.emissions.mio.tonnes","transport.ghg.emissions.mio.tonnes","waste.ghg.emissions.mio.tonnes","ghg.emissions.indexed","ghg.emissions.per.capita.tonnes","EU28.agriculture.ghg.emissions.mio.tonnes","EU28.energy.ghg.emissions.mio.tonnes","EU28.industry.ghg.emissions.mio.tonnes","EU28.total.ghg.emissions.mio.tonnes","EU28.transport.ghg.emissions.mio.tonnes","EU28.waste.ghg.emissions.mio.tonnes","EU28.ghg.emissions.indexed","EU28.ghg.emissions.per.capita.tonnes","agriculture.ghg.emissions.national.share","energy.ghg.emissions.national.share","industry.ghg.emissions.national.share","transport.ghg.emissions.national.share","waste.ghg.emissions.national.share","agriculture.ghg.emissions.EU28.share","energy.ghg.emissions.EU28.share","industry.ghg.emissions.EU28.share","total.ghg.emissions.EU28.share","transport.ghg.emissions.EU28.share","waste.ghg.emissions.EU28.share"
1990,"Austria",8.1,14.1,13.7,78.7,14,3.9,100,10.4,543.3,1675.7,517.2,5649.5,793.2,240.4,100,12,0.1029,0.1792,0.1741,0.1779,0.0496,0.0149,0.0084,0.0265,0.0139,0.0177,0.0162
1991,"Austria",8,14.9,13.7,82.3,15.5,4,104.9,10.8,512.1,1641.5,482.5,5555,800.4,244,98.3,11.8,0.0972,0.181,0.1665,0.1883,0.0486,0.0156,0.0091,0.0284,0.0148,0.0194,0.0164
1992,"Austria",7.7,11.6,12.1,75.8,15.4,3.9,96.6,9.8,489.6,1582.7,464,5379.8,823.9,246.1,95.3,11.4,0.1016,0.153,0.1596,0.2032,0.0515,0.0157,0.0073,0.0261,0.0141,0.0187,0.0158
1993,"Austria",7.7,11.7,12,75.9,15.6,3.9,96.8,9.7,477.2,1515.7,455.4,5281.5,828.3,247,93.6,11.1,0.1014,0.1542,0.1581,0.2055,0.0514,0.0161,0.0077,0.0264,0.0144,0.0188,0.0158
1994,"Austria",7.7,12,12.7,76.2,15.6,3.8,97.5,9.8,471.2,1522.5,483.3,5255.3,834.9,246.6,93.2,11.1,0.101,0.1575,0.1667,0.2047,0.0499,0.0163,0.0079,0.0263,0.0145,0.0187,0.0154
1995,"Austria",7.8,13.2,13.6,79.6,15.9,3.7,101.9,10.2,472.6,1524.1,498.4,5308.5,847.3,247.4,94.2,11.2,0.098,0.1658,0.1709,0.1997,0.0465,0.0165,0.0087,0.0273,0.015,0.0188,0.015
1996,"Austria",7.7,14.1,13.1,82.9,17.4,3.5,106.1,10.6,474.1,1553.4,499.6,5418.7,873.6,246.6,96.2,11.4,0.0929,0.1701,0.158,0.2099,0.0422,0.0162,0.0091,0.0262,0.0153,0.0199,0.0142
1997,"Austria",7.7,14.1,14.2,82.4,16.5,3.3,105.6,10.5,471.1,1508.7,505.1,5326.3,884.9,243.6,94.5,11.2,0.0934,0.1711,0.1723,0.2002,0.04,0.0163,0.0093,0.0281,0.0155,0.0186,0.0135
1998,"Austria",7.6,13.2,13.9,81.7,18.6,3.2,104.7,10.4,468.2,1525.5,482.4,5281.5,914.1,240.2,93.8,11,0.093,0.1616,0.1701,0.2277,0.0392,0.0162,0.0087,0.0288,0.0155,0.0203,0.0133
1999,"Austria",7.5,12.7,13.6,80.1,18,3.1,102.6,10.2,466.6,1480.3,442.9,5172.6,932.1,234.7,92,10.8,0.0936,0.1586,0.1698,0.2247,0.0387,0.0161,0.0086,0.0307,0.0155,0.0193,0.0132
2000,"Austria",7.4,12.4,14.6,80.4,18.8,3,103.2,10.3,461.3,1511.2,455.6,5168.9,926.9,231.5,92.3,10.8,0.092,0.1542,0.1816,0.2338,0.0373,0.016,0.0082,0.032,0.0156,0.0203,0.013
2001,"Austria",7.4,13.7,14.5,84.3,20.3,2.9,108.3,10.7,455,1553.5,440.4,5223.1,940,227.4,93.3,10.9,0.0878,0.1625,0.172,0.2408,0.0344,0.0163,0.0088,0.0329,0.0161,0.0216,0.0128
2002,"Austria",7.3,13.4,15.1,86.1,22.2,2.9,110.3,10.9,448,1570.5,436.6,5182.9,951.3,223.5,92.4,10.8,0.0848,0.1556,0.1754,0.2578,0.0337,0.0163,0.0085,0.0346,0.0166,0.0233,0.013
2003,"Austria",7.1,16.2,15.3,91.8,24.1,2.9,117.2,11.5,444,1620.7,450.4,5265.6,960.3,217.4,94,10.9,0.0773,0.1765,0.1667,0.2625,0.0316,0.016,0.01,0.034,0.0174,0.0251,0.0133
2004,"Austria",7.1,16,14.8,91.4,24.6,2.9,117.3,11.4,444.7,1609.2,466.9,5265.4,979.6,208.9,94.1,10.9,0.0777,0.1751,0.1619,0.2691,0.0317,0.016,0.0099,0.0317,0.0174,0.0251,0.0139
2005,"Austria",7,16.4,15.6,92.6,24.9,2.8,118.9,11.5,438,1599.2,465.8,5228.4,978.8,202,93.6,10.8,0.0756,0.1771,0.1685,0.2689,0.0302,0.016,0.0103,0.0335,0.0177,0.0254,0.0139
2006,"Austria",7,15.2,16.3,90.1,23.7,2.7,115.5,11.1,434.3,1610.2,464.7,5214.5,986,195.8,93.4,10.7,0.0777,0.1687,0.1809,0.263,0.03,0.0161,0.0094,0.0351,0.0173,0.024,0.0138
2007,"Austria",7.1,14,16.9,87.5,23.9,2.5,112.2,10.8,436.7,1619.7,476,5162.4,995.4,189.1,92.7,10.6,0.0811,0.16,0.1931,0.2731,0.0286,0.0163,0.0086,0.0355,0.0169,0.024,0.0132
2008,"Austria",7.2,13.8,17.2,86.8,22.4,2.4,112,10.7,433.9,1548.1,450.8,5047,970.7,181.1,90.6,10.3,0.0829,0.159,0.1982,0.2581,0.0276,0.0166,0.0089,0.0382,0.0172,0.0231,0.0133
2009,"Austria",7.2,12.9,13.9,80.3,21.8,2.3,103.1,9.8,427.8,1424.2,376.8,4681.9,943.2,175.1,84,9.6,0.0897,0.1606,0.1731,0.2715,0.0286,0.0168,0.0091,0.0369,0.0172,0.0231,0.0131
2010,"Austria",7.1,14,15.9,84.8,22.6,2.2,109.3,10.4,423.4,1450.9,394.3,4783.6,937.6,167.8,85.8,9.7,0.0837,0.1651,0.1875,0.2665,0.0259,0.0168,0.0096,0.0403,0.0177,0.0241,0.0131
2011,"Austria",7.2,13.8,16,82.5,21.9,2,106.4,10.1,423.9,1425.2,389.8,4626.4,925.5,162.1,83.1,9.4,0.0873,0.1673,0.1939,0.2655,0.0242,0.017,0.0097,0.041,0.0178,0.0237,0.0123
2012,"Austria",7.1,12.4,15.6,79.8,21.7,1.9,103.1,9.7,421.7,1417.9,377.3,4563.1,896,157.9,82,9.3,0.089,0.1554,0.1955,0.2719,0.0238,0.0168,0.0087,0.0413,0.0175,0.0242,0.012
2013,"Austria",7.1,11.3,15.9,80.4,22.9,1.8,103.3,9.7,425.2,1342.3,375.3,4468.9,888.7,151.2,80.4,9.1,0.0883,0.1405,0.1978,0.2848,0.0224,0.0167,0.0084,0.0424,0.018,0.0258,0.0119
2014,"Austria",7.2,9.6,16,76.7,22.2,1.7,98.6,9.2,432.9,1258.2,381.3,4297.6,896.1,145.5,77.4,8.7,0.0939,0.1252,0.2086,0.2894,0.0222,0.0166,0.0076,0.042,0.0178,0.0248,0.0117
2015,"Austria",7.2,10.8,16.6,78.9,22.7,1.6,101.8,9.4,433.8,1245.2,376.7,4327.3,913.3,143.2,78,8.8,0.0913,0.1369,0.2104,0.2877,0.0203,0.0166,0.0087,0.0441,0.0182,0.0249,0.0112
2016,"Austria",7.4,10.6,16.4,79.6,23.5,1.6,103.1,9.4,434.8,1197.9,373.7,4303.4,932.5,140.1,77.6,8.7,0.093,0.1332,0.206,0.2952,0.0201,0.017,0.0088,0.0439,0.0185,0.0252,0.0114
1990,"Belgium",12.2,30.1,26.3,146.6,20.9,4.3,100,15,543.3,1675.7,517.2,5649.5,793.2,240.4,100,12,0.0832,0.2053,0.1794,0.1426,0.0293,0.0225,0.018,0.0509,0.0259,0.0263,0.0179
1991,"Belgium",12.1,30.7,25.3,149.3,21.1,4.5,101.4,15.2,512.1,1641.5,482.5,5555,800.4,244,98.3,11.8,0.081,0.2056,0.1695,0.1413,0.0301,0.0236,0.0187,0.0524,0.0269,0.0264,0.0184
1992,"Belgium",12.1,29.5,26.4,148.9,21.9,4.6,101.2,15.1,489.6,1582.7,464,5379.8,823.9,246.1,95.3,11.4,0.0813,0.1981,0.1773,0.1471,0.0309,0.0247,0.0186,0.0569,0.0277,0.0266,0.0187
1993,"Belgium",12.2,29,25.6,147.9,22.4,4.4,100.5,14.9,477.2,1515.7,455.4,5281.5,828.3,247,93.6,11.1,0.0825,0.1961,0.1731,0.1515,0.0297,0.0256,0.0191,0.0562,0.028,0.027,0.0178
1994,"Belgium",12.1,30.1,28.5,152.5,22.9,4.5,103.6,15.3,471.2,1522.5,483.3,5255.3,834.9,246.6,93.2,11.1,0.0793,0.1974,0.1869,0.1502,0.0295,0.0257,0.0198,0.059,0.029,0.0274,0.0182
1995,"Belgium",12.3,29.6,30.2,154.7,22.9,4.5,105.3,15.6,472.6,1524.1,498.4,5308.5,847.3,247.4,94.2,11.2,0.0795,0.1913,0.1952,0.148,0.0291,0.026,0.0194,0.0606,0.0291,0.027,0.0182
1996,"Belgium",12.2,28.9,29.7,158.3,23.4,4.4,108,15.9,474.1,1553.4,499.6,5418.7,873.6,246.6,96.2,11.4,0.0771,0.1826,0.1876,0.1478,0.0278,0.0257,0.0186,0.0594,0.0292,0.0268,0.0178
1997,"Belgium",12.2,27.8,26.9,149.8,23.5,4.5,102.5,15.1,471.1,1508.7,505.1,5326.3,884.9,243.6,94.5,11.2,0.0814,0.1856,0.1796,0.1569,0.03,0.0259,0.0184,0.0533,0.0281,0.0266,0.0185
1998,"Belgium",12,30.6,28.1,155,24.2,4.3,106.3,15.6,468.2,1525.5,482.4,5281.5,914.1,240.2,93.8,11,0.0774,0.1974,0.1813,0.1561,0.0277,0.0256,0.0201,0.0583,0.0293,0.0265,0.0179
1999,"Belgium",12.2,26.8,27.2,148.6,24.5,4.1,102.4,15,466.6,1480.3,442.9,5172.6,932.1,234.7,92,10.8,0.0821,0.1803,0.183,0.1649,0.0276,0.0261,0.0181,0.0614,0.0287,0.0263,0.0175
2000,"Belgium",11.3,28.7,28.4,149.7,24.9,3.9,103.2,15.1,461.3,1511.2,455.6,5168.9,926.9,231.5,92.3,10.8,0.0755,0.1917,0.1897,0.1663,0.0261,0.0245,0.019,0.0623,0.029,0.0269,0.0168
2001,"Belgium",11.1,26.6,27,148.1,25.4,3.5,101.8,14.8,455,1553.5,440.4,5223.1,940,227.4,93.3,10.9,0.0749,0.1796,0.1823,0.1715,0.0236,0.0244,0.0171,0.0613,0.0284,0.027,0.0154
2002,"Belgium",11,28.1,26.8,147.6,25.7,3.5,101,14.6,448,1570.5,436.6,5182.9,951.3,223.5,92.4,10.8,0.0745,0.1904,0.1816,0.1741,0.0237,0.0246,0.0179,0.0614,0.0285,0.027,0.0157
2003,"Belgium",10.6,29.2,26.7,147.9,26.3,3.2,101.4,14.6,444,1620.7,450.4,5265.6,960.3,217.4,94,10.9,0.0717,0.1974,0.1805,0.1778,0.0216,0.0239,0.018,0.0593,0.0281,0.0274,0.0147
2004,"Belgium",10.5,29.7,27.7,149.2,27.4,3.2,102.3,14.7,444.7,1609.2,466.9,5265.4,979.6,208.9,94.1,10.9,0.0704,0.1991,0.1857,0.1836,0.0214,0.0236,0.0185,0.0593,0.0283,0.028,0.0153
2005,"Belgium",10.3,29.4,26.4,145.3,26.6,3.1,99.5,14.2,438,1599.2,465.8,5228.4,978.8,202,93.6,10.8,0.0709,0.2023,0.1817,0.1831,0.0213,0.0235,0.0184,0.0567,0.0278,0.0272,0.0153
2006,"Belgium",10.1,28.3,25.7,142.7,27.2,3,97.9,13.9,434.3,1610.2,464.7,5214.5,986,195.8,93.4,10.7,0.0708,0.1983,0.1801,0.1906,0.021,0.0233,0.0176,0.0553,0.0274,0.0276,0.0153
2007,"Belgium",10.3,27.6,24,139,28,3,95.6,13.5,436.7,1619.7,476,5162.4,995.4,189.1,92.7,10.6,0.0741,0.1986,0.1727,0.2014,0.0216,0.0236,0.017,0.0504,0.0269,0.0281,0.0159
2008,"Belgium",10.1,25.5,24.3,138.8,28.1,2.8,95.8,13.4,433.9,1548.1,450.8,5047,970.7,181.1,90.6,10.3,0.0728,0.1837,0.1751,0.2024,0.0202,0.0233,0.0165,0.0539,0.0275,0.0289,0.0155
2009,"Belgium",10.3,26,18.6,126.3,27.3,2.6,86.9,12.1,427.8,1424.2,376.8,4681.9,943.2,175.1,84,9.6,0.0816,0.2059,0.1473,0.2162,0.0206,0.0241,0.0183,0.0494,0.027,0.0289,0.0148
2010,"Belgium",10.2,26.5,21.5,132.9,26.4,2.5,91.4,12.6,423.4,1450.9,394.3,4783.6,937.6,167.8,85.8,9.7,0.0767,0.1994,0.1618,0.1986,0.0188,0.0241,0.0183,0.0545,0.0278,0.0282,0.0149
2011,"Belgium",10.1,23.1,20.6,122.2,26,2.3,84.5,11.5,423.9,1425.2,389.8,4626.4,925.5,162.1,83.1,9.4,0.0827,0.189,0.1686,0.2128,0.0188,0.0238,0.0162,0.0528,0.0264,0.0281,0.0142
2012,"Belgium",9.9,23,19.1,119.4,25.2,2.2,82.4,11.1,421.7,1417.9,377.3,4563.1,896,157.9,82,9.3,0.0829,0.1926,0.16,0.2111,0.0184,0.0235,0.0162,0.0506,0.0262,0.0281,0.0139
2013,"Belgium",9.9,21.5,19.8,119.3,24.8,1.8,82.5,11.1,425.2,1342.3,375.3,4468.9,888.7,151.2,80.4,9.1,0.083,0.1802,0.166,0.2079,0.0151,0.0233,0.016,0.0528,0.0267,0.0279,0.0119
2014,"Belgium",10.1,20.5,19.8,113.5,25,1.7,78.8,10.5,432.9,1258.2,381.3,4297.6,896.1,145.5,77.4,8.7,0.089,0.1806,0.1744,0.2203,0.015,0.0233,0.0163,0.0519,0.0264,0.0279,0.0117
2015,"Belgium",10,21.2,19.8,117.1,26.7,1.6,81.5,10.8,433.8,1245.2,376.7,4327.3,913.3,143.2,78,8.8,0.0854,0.181,0.1691,0.228,0.0137,0.0231,0.017,0.0526,0.0271,0.0292,0.0112
2016,"Belgium",9.9,20,20.4,115.8,26.4,1.5,81.5,10.8,434.8,1197.9,373.7,4303.4,932.5,140.1,77.6,8.7,0.0855,0.1727,0.1762,0.228,0.013,0.0228,0.0167,0.0546,0.0269,0.0283,0.0107
1990,"Bulgaria",12.5,36.5,10,101.8,6.6,8,100,12,543.3,1675.7,517.2,5649.5,793.2,240.4,100,12,0.1228,0.3585,0.0982,0.0648,0.0786,0.023,0.0218,0.0193,0.018,0.0083,0.0333
1991,"Bulgaria",10.8,29.8,7.9,83.4,3.6,7.7,79.1,9.6,512.1,1641.5,482.5,5555,800.4,244,98.3,11.8,0.1295,0.3573,0.0947,0.0432,0.0923,0.0211,0.0182,0.0164,0.015,0.0045,0.0316
1992,"Bulgaria",9.4,28.7,6.6,77.8,4,7.6,75,9.2,489.6,1582.7,464,5379.8,823.9,246.1,95.3,11.4,0.1208,0.3689,0.0848,0.0514,0.0977,0.0192,0.0181,0.0142,0.0145,0.0049,0.0309
1993,"Bulgaria",8,29,6.9,76.8,4.5,7.4,74.3,9.2,477.2,1515.7,455.4,5281.5,828.3,247,93.6,11.1,0.1042,0.3776,0.0898,0.0586,0.0964,0.0168,0.0191,0.0152,0.0145,0.0054,0.03
1994,"Bulgaria",7,26.7,8.4,73.1,4.1,6.6,70.7,8.8,471.2,1522.5,483.3,5255.3,834.9,246.6,93.2,11.1,0.0958,0.3653,0.1149,0.0561,0.0903,0.0149,0.0175,0.0174,0.0139,0.0049,0.0268
1995,"Bulgaria",5.9,27.2,10.5,74.6,4.4,7,72.1,9,472.6,1524.1,498.4,5308.5,847.3,247.4,94.2,11.2,0.0791,0.3646,0.1408,0.059,0.0938,0.0125,0.0178,0.0211,0.0141,0.0052,0.0283
1996,"Bulgaria",5.6,27,10.3,74.8,4.3,7,72,9,474.1,1553.4,499.6,5418.7,873.6,246.6,96.2,11.4,0.0749,0.361,0.1377,0.0575,0.0936,0.0118,0.0174,0.0206,0.0138,0.0049,0.0284
1997,"Bulgaria",5.7,29,9.5,71.8,4.4,7,68.6,8.6,471.1,1508.7,505.1,5326.3,884.9,243.6,94.5,11.2,0.0794,0.4039,0.1323,0.0613,0.0975,0.0121,0.0192,0.0188,0.0135,0.005,0.0287
1998,"Bulgaria",5.1,28,7.1,67.9,5.5,6.7,64.6,8.2,468.2,1525.5,482.4,5281.5,914.1,240.2,93.8,11,0.0751,0.4124,0.1046,0.081,0.0987,0.0109,0.0184,0.0147,0.0129,0.006,0.0279
1999,"Bulgaria",5.5,24.2,6.3,60.7,5.7,6.5,58,7.4,466.6,1480.3,442.9,5172.6,932.1,234.7,92,10.8,0.0906,0.3987,0.1038,0.0939,0.1071,0.0118,0.0163,0.0142,0.0117,0.0061,0.0277
2000,"Bulgaria",5.2,24,7.2,59.6,5.5,6.4,57.1,7.3,461.3,1511.2,455.6,5168.9,926.9,231.5,92.3,10.8,0.0872,0.4027,0.1208,0.0923,0.1074,0.0113,0.0159,0.0158,0.0115,0.0059,0.0276
2001,"Bulgaria",5,27.9,7.2,62.7,5.7,6,60.2,7.9,455,1553.5,440.4,5223.1,940,227.4,93.3,10.9,0.0797,0.445,0.1148,0.0909,0.0957,0.011,0.018,0.0163,0.012,0.0061,0.0264
2002,"Bulgaria",5.1,25.2,6.4,59.7,5.9,5.8,57.4,7.7,448,1570.5,436.6,5182.9,951.3,223.5,92.4,10.8,0.0854,0.4221,0.1072,0.0988,0.0972,0.0114,0.016,0.0147,0.0115,0.0062,0.026
2003,"Bulgaria",5,27.1,7.1,64.2,6.5,5.9,61.8,8.3,444,1620.7,450.4,5265.6,960.3,217.4,94,10.9,0.0779,0.4221,0.1106,0.1012,0.0919,0.0113,0.0167,0.0158,0.0122,0.0068,0.0271
2004,"Bulgaria",5.5,26.9,7.2,63.3,7,5.8,60.9,8.3,444.7,1609.2,466.9,5265.4,979.6,208.9,94.1,10.9,0.0869,0.425,0.1137,0.1106,0.0916,0.0124,0.0167,0.0154,0.012,0.0071,0.0278
2005,"Bulgaria",5.2,27.1,7.7,63.9,7.8,5.4,61.6,8.4,438,1599.2,465.8,5228.4,978.8,202,93.6,10.8,0.0814,0.4241,0.1205,0.1221,0.0845,0.0119,0.0169,0.0165,0.0122,0.008,0.0267
2006,"Bulgaria",5.1,27.4,7.5,64.5,8.3,5.2,62.1,8.6,434.3,1610.2,464.7,5214.5,986,195.8,93.4,10.7,0.0791,0.4248,0.1163,0.1287,0.0806,0.0117,0.017,0.0161,0.0124,0.0084,0.0266
2007,"Bulgaria",4.9,30.7,8,68.4,8.2,5.1,65.8,9.1,436.7,1619.7,476,5162.4,995.4,189.1,92.7,10.6,0.0716,0.4488,0.117,0.1199,0.0746,0.0112,0.019,0.0168,0.0132,0.0082,0.027
2008,"Bulgaria",5.1,32.2,7.2,67,8.6,4.9,64.6,9,433.9,1548.1,450.8,5047,970.7,181.1,90.6,10.3,0.0761,0.4806,0.1075,0.1284,0.0731,0.0118,0.0208,0.016,0.0133,0.0089,0.0271
2009,"Bulgaria",5,29.4,4.2,58,8.2,4.8,55.8,7.8,427.8,1424.2,376.8,4681.9,943.2,175.1,84,9.6,0.0862,0.5069,0.0724,0.1414,0.0828,0.0117,0.0206,0.0111,0.0124,0.0087,0.0274
2010,"Bulgaria",5.5,31.3,4.4,60.5,8,4.6,58.3,8.3,423.4,1450.9,394.3,4783.6,937.6,167.8,85.8,9.7,0.0909,0.5174,0.0727,0.1322,0.076,0.013,0.0216,0.0112,0.0126,0.0085,0.0274
2011,"Bulgaria",5.1,36.1,5,65.9,8.2,4.6,63.4,9,423.9,1425.2,389.8,4626.4,925.5,162.1,83.1,9.4,0.0774,0.5478,0.0759,0.1244,0.0698,0.012,0.0253,0.0128,0.0142,0.0089,0.0284
2012,"Bulgaria",5.2,31.3,4.8,60.8,8.5,4.4,58.5,8.4,421.7,1417.9,377.3,4563.1,896,157.9,82,9.3,0.0855,0.5148,0.0789,0.1398,0.0724,0.0123,0.0221,0.0127,0.0133,0.0095,0.0279
2013,"Bulgaria",5.7,27,4.8,55.5,7.4,4.5,53.5,7.7,425.2,1342.3,375.3,4468.9,888.7,151.2,80.4,9.1,0.1027,0.4865,0.0865,0.1333,0.0811,0.0134,0.0201,0.0128,0.0124,0.0083,0.0298
2014,"Bulgaria",6.2,28.7,5.1,58.5,8.4,4.3,56.4,8.2,432.9,1258.2,381.3,4297.6,896.1,145.5,77.4,8.7,0.106,0.4906,0.0872,0.1436,0.0735,0.0143,0.0228,0.0134,0.0136,0.0094,0.0296
2015,"Bulgaria",6.2,29.8,5.8,61.7,9.2,4.2,59.5,8.7,433.8,1245.2,376.7,4327.3,913.3,143.2,78,8.8,0.1005,0.483,0.094,0.1491,0.0681,0.0143,0.0239,0.0154,0.0143,0.0101,0.0293
2016,"Bulgaria",6.6,26.4,6.1,59.1,9.3,4.1,57,8.4,434.8,1197.9,373.7,4303.4,932.5,140.1,77.6,8.7,0.1117,0.4467,0.1032,0.1574,0.0694,0.0152,0.022,0.0163,0.0137,0.01,0.0293
1990,"Croatia",4.4,7.1,4.7,31.9,3.9,1.1,100,6.8,543.3,1675.7,517.2,5649.5,793.2,240.4,100,12,0.1379,0.2226,0.1473,0.1223,0.0345,0.0081,0.0042,0.0091,0.0056,0.0049,0.0046
1991,"Croatia",4.3,4.7,3.5,25,2.9,1.1,77.7,5.4,512.1,1641.5,482.5,5555,800.4,244,98.3,11.8,0.172,0.188,0.14,0.116,0.044,0.0084,0.0029,0.0073,0.0045,0.0036,0.0045
1992,"Croatia",3.8,5.4,2.9,23.1,2.8,1.1,71.7,5.1,489.6,1582.7,464,5379.8,823.9,246.1,95.3,11.4,0.1645,0.2338,0.1255,0.1212,0.0476,0.0078,0.0034,0.0062,0.0043,0.0034,0.0045
1993,"Croatia",3.6,5.9,2.4,23.3,3,1.1,72.5,5.1,477.2,1515.7,455.4,5281.5,828.3,247,93.6,11.1,0.1545,0.2532,0.103,0.1288,0.0472,0.0075,0.0039,0.0053,0.0044,0.0036,0.0045
1994,"Croatia",3.4,4.6,2.7,22.3,3.2,1.1,69.9,4.9,471.2,1522.5,483.3,5255.3,834.9,246.6,93.2,11.1,0.1525,0.2063,0.1211,0.1435,0.0493,0.0072,0.003,0.0056,0.0042,0.0038,0.0045
1995,"Croatia",3.3,5.2,2.5,22.9,3.4,1.2,71.5,5,472.6,1524.1,498.4,5308.5,847.3,247.4,94.2,11.2,0.1441,0.2271,0.1092,0.1485,0.0524,0.007,0.0034,0.005,0.0043,0.004,0.0049
1996,"Croatia",3.2,5.1,2.5,23.5,3.7,1.2,73.3,5.2,474.1,1553.4,499.6,5418.7,873.6,246.6,96.2,11.4,0.1362,0.217,0.1064,0.1574,0.0511,0.0067,0.0033,0.005,0.0043,0.0042,0.0049
1997,"Croatia",3.3,5.6,2.7,24.8,4.1,1.2,77.1,5.5,471.1,1508.7,505.1,5326.3,884.9,243.6,94.5,11.2,0.1331,0.2258,0.1089,0.1653,0.0484,0.007,0.0037,0.0053,0.0047,0.0046,0.0049
1998,"Croatia",3.1,6.2,2.4,25.1,4.2,1.2,78.2,5.6,468.2,1525.5,482.4,5281.5,914.1,240.2,93.8,11,0.1235,0.247,0.0956,0.1673,0.0478,0.0066,0.0041,0.005,0.0048,0.0046,0.005
1999,"Croatia",3.2,6.4,2.9,26.2,4.5,1.3,81.6,5.9,466.6,1480.3,442.9,5172.6,932.1,234.7,92,10.8,0.1221,0.2443,0.1107,0.1718,0.0496,0.0069,0.0043,0.0065,0.0051,0.0048,0.0055
2000,"Croatia",3.1,5.8,3.1,25.9,4.5,1.3,80.4,5.8,461.3,1511.2,455.6,5168.9,926.9,231.5,92.3,10.8,0.1197,0.2239,0.1197,0.1737,0.0502,0.0067,0.0038,0.0068,0.005,0.0049,0.0056
2001,"Croatia",3.3,6.4,3.1,27.1,4.6,1.4,84.1,6.3,455,1553.5,440.4,5223.1,940,227.4,93.3,10.9,0.1218,0.2362,0.1144,0.1697,0.0517,0.0073,0.0041,0.007,0.0052,0.0049,0.0062
2002,"Croatia",3.2,7.3,3.1,28.1,4.8,1.4,87.2,6.6,448,1570.5,436.6,5182.9,951.3,223.5,92.4,10.8,0.1139,0.2598,0.1103,0.1708,0.0498,0.0071,0.0046,0.0071,0.0054,0.005,0.0063
2003,"Croatia",3.1,7.9,3.1,29.5,5.2,1.5,91.5,6.9,444,1620.7,450.4,5265.6,960.3,217.4,94,10.9,0.1051,0.2678,0.1051,0.1763,0.0508,0.007,0.0049,0.0069,0.0056,0.0054,0.0069
2004,"Croatia",3.4,6.8,3.5,29.6,5.4,1.5,92,6.9,444.7,1609.2,466.9,5265.4,979.6,208.9,94.1,10.9,0.1149,0.2297,0.1182,0.1824,0.0507,0.0076,0.0042,0.0075,0.0056,0.0055,0.0072
2005,"Croatia",3.3,6.8,3.6,30,5.6,1.5,93.2,7,438,1599.2,465.8,5228.4,978.8,202,93.6,10.8,0.11,0.2267,0.12,0.1867,0.05,0.0075,0.0043,0.0077,0.0057,0.0057,0.0074
2006,"Croatia",3.4,6.7,3.7,30.4,5.9,1.6,94.2,7.1,434.3,1610.2,464.7,5214.5,986,195.8,93.4,10.7,0.1118,0.2204,0.1217,0.1941,0.0526,0.0078,0.0042,0.008,0.0058,0.006,0.0082
2007,"Croatia",3.3,7.8,3.9,31.8,6.3,1.7,98.8,7.4,436.7,1619.7,476,5162.4,995.4,189.1,92.7,10.6,0.1038,0.2453,0.1226,0.1981,0.0535,0.0076,0.0048,0.0082,0.0062,0.0063,0.009
2008,"Croatia",3.5,6.8,3.8,30.8,6.2,1.8,95.1,7.1,433.9,1548.1,450.8,5047,970.7,181.1,90.6,10.3,0.1136,0.2208,0.1234,0.2013,0.0584,0.0081,0.0044,0.0084,0.0061,0.0064,0.0099
2009,"Croatia",3,6.4,3.1,28.5,6.2,1.9,89,6.7,427.8,1424.2,376.8,4681.9,943.2,175.1,84,9.6,0.1053,0.2246,0.1088,0.2175,0.0667,0.007,0.0045,0.0082,0.0061,0.0066,0.0109
2010,"Croatia",3.1,5.9,3.3,28.1,6,1.9,87.3,6.6,423.4,1450.9,394.3,4783.6,937.6,167.8,85.8,9.7,0.1103,0.21,0.1174,0.2135,0.0676,0.0073,0.0041,0.0084,0.0059,0.0064,0.0113
2011,"Croatia",3.2,6.3,3.2,27.8,5.8,1.9,86.2,6.5,423.9,1425.2,389.8,4626.4,925.5,162.1,83.1,9.4,0.1151,0.2266,0.1151,0.2086,0.0683,0.0075,0.0044,0.0082,0.006,0.0063,0.0117
2012,"Croatia",3,5.9,2.9,25.9,5.6,1.9,80.7,6.1,421.7,1417.9,377.3,4563.1,896,157.9,82,9.3,0.1158,0.2278,0.112,0.2162,0.0734,0.0071,0.0042,0.0077,0.0057,0.0062,0.012
2013,"Croatia",2.8,5.3,2.6,24.6,5.7,1.8,77,5.9,425.2,1342.3,375.3,4468.9,888.7,151.2,80.4,9.1,0.1138,0.2154,0.1057,0.2317,0.0732,0.0066,0.0039,0.0069,0.0055,0.0064,0.0119
2014,"Croatia",2.7,4.8,2.8,23.8,5.6,1.9,74.3,5.7,432.9,1258.2,381.3,4297.6,896.1,145.5,77.4,8.7,0.1134,0.2017,0.1176,0.2353,0.0798,0.0062,0.0038,0.0073,0.0055,0.0062,0.0131
2015,"Croatia",2.9,4.7,2.8,24.2,6,2,75.8,5.8,433.8,1245.2,376.7,4327.3,913.3,143.2,78,8.8,0.1198,0.1942,0.1157,0.2479,0.0826,0.0067,0.0038,0.0074,0.0056,0.0066,0.014
